region,Stations,total distance,Resources Sold
USA East,21,11054,"Honey, Paper, Pizza, Salmon, Steel, Strawberry, Wood, Onion"
USA South,19,13928,"BBQ Rib, Corn, Lemon, Oil, Orange, Pig, Strawberry"
USA Center,15,13997,"Apple, Carrot, Corn, Cow, Firework, Iron, Wheat"
USA West,15,13167,"Chicken, Copper, Honey, Iron, Lemon, Microprocessor, Orange"
Canada West,12,16922,"Chicken, Copper, Paper, Parka, Oil, Water, Wood"
Canada Center,5,6672,"Apple, Carrot, Corn, Cow, Hockey Stick, Honey, Wheat"
Canada East,11,13458,"Chicken, Cow, Pig, Poutine, Salmon, Steel, Water"
Europe West,15,12670,"Bonbon, Meatball, Lemon, Sausage, Sheep, Tea"
Europe South,18,20020,"Bonbon, Casino Chip, Holy Water, Lemon, Pasta, Tulip"
Europe East,10,9651,"Holy Water, Sheep, Candle, Sausage, Carrot, Meatball, Onion"
Europe North,11,15594,"Bonbon, Utility Knife, Water, Meatball, Sausage, Tulip"
